Job,Education
"['Training Specialist', 'Training Specialist', 'Legal Assistant Paralegal', 'Legal Affairs Specialist']","['Master di I livello', 'Politiche di Sicurezza e Polizie Locali', 'Laurea Magistrale  LM in Giurisprudenza', 'Ragioniere perito commerciale - programmatore']"
"[""Esperienze di Lavoro all'Estero come Care Assistant,Barman,Waiter""]","['Scienze Politiche,Sociali ed Internazionali', 'Curriculum Sociologia', 'Diploma', 'Liceo Scientifico']"
"['docente di lettere', 'docente di lettere', 'docente di lettere', 'docente di lettere', 'docente di lettere', 'Studente tirocinante']","['Laurea Magistrale  LM in Scienze Umanistiche', 'Italianistica', '110 e lode', 'Arts and Humanities', 'Laurea triennale in Scienze Umanistiche', 'lettere moderne', '110']"
"['Junior Software Developer', 'Promoter vendite', 'Promoter vendite', 'Scuola lavoro']","['Laurea triennale', 'Ingegneria informatica', '86/110']"
"['IoT Edge Developer', 'Sviluppatore front-end']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110 e lode', 'Laurea triennale', 'Ingegneria informatica', '109', 'Diploma Istituto Tecnico', 'Perito informatico', '88']"
"['Product Specialist', 'Content Creator Youtube (nFire)', 'Data scientist']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110 e lode', 'Laurea triennale', 'Ingegneria informatica, software']"
"['Full Stack Engineer', 'Studente lavoratore', 'Tecnico di supporto IT']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110L/110', 'Laurea triennale', 'Ingegneria informatica', '100/110', 'Liceo Scientifico', '96/100']"
['Programmatore software'],"['Laurea triennale', 'Ingegneria informatica', '91', 'Ragioniere perito commerciale programmatore', '97']"
"['Cofounder, IT Project Manager e Sviluppatore', 'Consulente Informatico', 'Professore', 'Servizio civile']","['Laurea triennale', 'Ingegneria informatica', '92', 'Diploma perito Informatico', '95']"
"['Impiegato tecnico in attività di sviluppo software e sistemi', 'Functional Analyst', 'Solution Designer Intern', 'Gestore laboratorio informatico']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110 e Lode', 'Laurea triennale', 'Ingegneria informatica', '110 e Lode', 'Diploma', '84', 'Pianoforte']"
['Software Analyst'],"['Laurea ingegneria', 'Ingegneria informatica', 'Perito in Informatica', 'Informatica e Telecomunicazioni']"
"['Software Engineer', 'Ingegnere', 'Software Engineer', 'Programmatore']","['laurea magistrale LM in ingegneria informatica', 'Ingegneria informatica', '103']"
['Content Researcher'],"['Laurea triennale', 'Scienze Politiche, Sociali e Internazionali (Curriculum PIL - Percorso Università Impresa)', '110/110 e lode (full marks with honors)', '100/100']"
"['Sviluppatore di software', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica', '109']"
"['Analista software', 'Software Engineer']","['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea in Ingegneria Informatica', 'Ingegneria informatica', '100', 'Liceo scientifico', '82']"
"['Analyst | eCommerce Developer', 'Electrician Apprentice']","['Laurea Magistrale', 'Ingegneria Informatica', 'Laurea Triennale', 'Ingegneria Informatica']"
"['Software Engineer', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110/110 con Lode', 'Laurea triennale', 'Ingegneria informatica', '100/110', 'Scientifico tradizionale con sperimentazione linguistica inglese-tedesco', '82/100']"
"['Ingegnere Informatico', 'Website Developer', 'Programmatore Web', 'Programmatore Web', 'Programmatore Web', 'Programmatore Web']","['laurea', 'Ingegneria informatica']"
"['blockchain expert', 'IT Technical Architect', 'IT Technical Architect', 'IT Architect', 'Referente', 'Ingegnere informatico', 'Ingegnere informatico', 'Analista tecnico', 'Ingegnere informatico', 'Ingegnere informatico', 'Ingegnere informatico', 'Ingegnere informatico', 'Ingegnere informatico']","['laurea magistrale', 'Ingegneria informatica', 'Erasmus project', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica']"
