Job,Education,InfoDeg,DateRange,Gender,WorkLevel
"['Training Specialist', 'Training Specialist', 'Legal Assistant Paralegal', 'Legal Affairs Specialist']","['Master di I livello', 'Politiche di Sicurezza e Polizie Locali', 'Laurea Magistrale  LM in Giurisprudenza', 'Ragioniere perito commerciale - programmatore']",Magistrale,"['2015', '2009', '2014', '2004', '2009']",F,Quadro
"[""Esperienze di Lavoro all'Estero come Care Assistant,Barman,Waiter""]","['Scienze Politiche,Sociali ed Internazionali', 'Curriculum Sociologia', 'Diploma', 'Liceo Scientifico']",Triennale,"['2014', '2016', '2006', '2011']",M,Impiegato
"['docente di lettere', 'docente di lettere', 'docente di lettere', 'docente di lettere', 'docente di lettere', 'Studente tirocinante']","['Laurea Magistrale  LM in Scienze Umanistiche', 'Italianistica', '110 e lode', 'Arts and Humanities', 'Laurea triennale in Scienze Umanistiche', 'lettere moderne', '110']",Magistrale,"['2017', '2020', '2016', '2017', '2014', '2017']",F,Impiegato
"['Junior Software Developer', 'Promoter vendite', 'Promoter vendite', 'Scuola lavoro']","['Laurea triennale', 'Ingegneria informatica', '86/110']",Triennale,"['2016', '2021']",M,Impiegato
"['IoT Edge Developer', 'Sviluppatore front-end']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110 e lode', 'Laurea triennale', 'Ingegneria informatica', '109', 'Diploma Istituto Tecnico', 'Perito informatico', '88']",Magistrale,"['2019', '2020', '2015', '2018', '2010', '2015']",M,Impiegato
"['Product Specialist', 'Content Creator Youtube (nFire)', 'Data scientist']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110 e lode', 'Laurea triennale', 'Ingegneria informatica, software']",Magistrale,"['2018', '2020', '2015', '2018']",M,Quadro
"['Full Stack Engineer', 'Studente lavoratore', 'Tecnico di supporto IT']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110L/110', 'Laurea triennale', 'Ingegneria informatica', '100/110', 'Liceo Scientifico', '96/100']",Magistrale,"['2018', '2021', '2014', '2018', '2009', '2014']",M,Quadro
['Programmatore software'],"['Laurea triennale', 'Ingegneria informatica', '91', 'Ragioniere perito commerciale programmatore', '97']",Triennale,"['2014', '2020', '2009', '2014']",M,Impiegato
"['Cofounder, IT Project Manager e Sviluppatore', 'Consulente Informatico', 'Professore', 'Servizio civile']","['Laurea triennale', 'Ingegneria informatica', '92', 'Diploma perito Informatico', '95']",Triennale,"['2016', '2019', '2010', '2015']",M,Impiegato
"['Impiegato tecnico in attività di sviluppo software e sistemi', 'Functional Analyst', 'Solution Designer Intern', 'Gestore laboratorio informatico']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110 e Lode', 'Laurea triennale', 'Ingegneria informatica', '110 e Lode', 'Diploma', '84', 'Pianoforte']",Magistrale,"['2019', '2021', '2016', '2019', '2011', '2016', '2008', '2016']",M,Impiegato
['Software Analyst'],"['Laurea ingegneria', 'Ingegneria informatica', 'Perito in Informatica', 'Informatica e Telecomunicazioni']",Triennale,"['2016', '2020', '2011', '2016']",M,Impiegato
"['Software Engineer', 'Ingegnere', 'Software Engineer', 'Programmatore']","['laurea magistrale LM in ingegneria informatica', 'Ingegneria informatica', '103']",Magistrale,"['2011', '2017']",M,Quadro
['Content Researcher'],"['Laurea triennale', 'Scienze Politiche, Sociali e Internazionali (Curriculum PIL - Percorso Università Impresa)', '110/110 e lode (full marks with honors)', '100/100']",Triennale,"['2018', '2021', '2012', '2017']",F,Impiegato
"['Sviluppatore di software', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica', '109']",Magistrale,"['2019', '2021', '2015', '2018', '2016', '2020']",M,Impiegato
"['Analista software', 'Software Engineer']","['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea in Ingegneria Informatica', 'Ingegneria informatica', '100', 'Liceo scientifico', '82']",Magistrale,"['2021', '2023', '2017', '2021', '2012', '2017']",M,Quadro
"['Analyst | eCommerce Developer', 'Electrician Apprentice']","['Laurea Magistrale', 'Ingegneria Informatica', 'Laurea Triennale', 'Ingegneria Informatica']",Magistrale,"['2018', '2020', '2014', '2017']",M,Quadro
"['Software Engineer', 'Studente tirocinante']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110/110 con Lode', 'Laurea triennale', 'Ingegneria informatica', '100/110', 'Scientifico tradizionale con sperimentazione linguistica inglese-tedesco', '82/100']",Magistrale,"['2017', '2020', '2014', '2017', '2009', '2014']",M,Quadro
"['Ingegnere Informatico', 'Website Developer', 'Programmatore Web', 'Programmatore Web', 'Programmatore Web', 'Programmatore Web']","['laurea', 'Ingegneria informatica']",Triennale,[],M,Impiegato
"['blockchain expert', 'IT Technical Architect', 'IT Technical Architect', 'IT Architect', 'Referente', 'Ingegnere informatico', 'Ingegnere informatico', 'Analista tecnico', 'Ingegnere informatico', 'Ingegnere informatico', 'Ingegnere informatico', 'Ingegnere informatico', 'Ingegnere informatico']","['laurea magistrale', 'Ingegneria informatica', 'Erasmus project', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica']",Magistrale,"['2010', '2013', '2012', '2012', '2006', '2010']",M,Quadro
['Software Developer'],"['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea triennale', 'ingegneria e scienze informatiche', '100']",Magistrale,"['2018', '2022', '2014', '2018']",M,Impiegato
['IT Consultant'],"['Laurea Magistrale  LM', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica']",Magistrale,"['2015', '2018', '2011', '2015']",M,Quadro
"['Control Engineer', 'Software Development']","['Laurea Specialistica in Ingegneria Informatica', 'Ingegneria informatica', '110/110 e lode', 'Laurea di primo livello in Ingegneria Informatica', 'Ingegneria informatica', '110/110 e lode']",Magistrale,"['2003', '2006', '2000', '2003']",M,Quadro
"['Insegnante di lingua', 'Manovale edile']","['Laurea triennale', 'Scienze politiche e governo', 'Diploma di Specializzazione di 1° livello   DS1 in Scienze Umanistiche e Sociali', 'scienze economiche e sociali', '74/100']",Triennale,"['2016', '2021', '2010', '2015']",M,Impiegato
"['Project Manager', 'Project Manager', 'a']","['Ingegneria', 'Ingegneria informatica']",Triennale,"['1992', '2000']",M,Quadro
"['Consulente sviluppo software', 'Software Developer', 'Engineer', 'Tecnico informatico']","[""Laurea Magistrale  LM in Ingegneria dell'informazione"", 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica', 'Diploma Istituto Tecnico e Professionale', 'Informatica', '94/100']",Magistrale,"['2020', '2023', '2016', '2020', '2011', '2016']",M,Quadro
"['Junior Software Engineer', 'IT-training', 'Student Internship']","['Laurea triennale', 'Ingegneria informatica']",Triennale,[],M,Impiegato
"['Cloud Engineer', 'Software Engineer']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110/110 e lode', 'Laurea triennale in Scienze e Tecnologie Informatiche', 'Ingegneria e scienze informatiche', '110/110 e lode']",Magistrale,"['2016', '2019', '2013', '2016']",M,Quadro
"['Software engineer', 'Software engineer']","['Laurea in Ingegneria Informatica', ""Tecnologia/tecnico di ingegneria dell''automazione"", '89/100']",Triennale,"['1992', '2000']",M,Impiegato
"['Analista di programmazione', 'Responsabile I.T.', 'Analista programmatore']","['Laurea in Ingegneria Informatica', 'Laurea', 'Ingegneria Informatica']",Triennale,[],M,Impiegato
"['Big Data Engineer', 'Ph.D Student - Computer Science and Engineering', 'Assegnista di ricerca']","['Laurea Magistrale  LM', 'Ingegneria informatica', '110/110L', 'Laurea triennale', 'Ingegneria informatica', '101/110', 'Diploma', 'Liceo Scientifico Tecnologico', '100/100']",Magistrale,"['2015', '2018', '2010', '2014']",M,Quadro
"['Software Engineer', 'Software Engineer']","['Laurea', 'Ingegneria informatica']",Triennale,[],M,Quadro
['Sviluppatore software'],"['Laurea Magistrale', 'Ingegneria informatica', '110/110 con Lode', 'Laurea di primo livello', 'Ingegneria informatica', '110/110']",Magistrale,"['2012', '2017', '2006', '2012']",M,Impiegato
"['sviluppatore e consulente software', 'Addetta al prestito', 'part-time']","['Dottore Magistrale', 'Ingegneria Informatica', '110/110 e lode', 'Dottoressa in Ingegneria Informatica', 'informatica', '110/110 e lode', 'diploma scientifico', 'Maxi Matematico Informatico', '100/100']",Magistrale,"['2010', '2013', '2007', '2010', '2002', '2007']",F,Quadro
['Delegata'],"['Scienze politiche sociali e internazionali', 'Maturità linguistica', '100/100']",Triennale,"['2018', '2021', '2013', '2018', '2003', '2018']",F,Impiegato
"['Cloud Consultant', 'Web Technology Specialist', 'Sviluppo Software - Internship', 'Sviluppatore Web']","['Laurea Magistrale', 'Ingegneria informatica', 'Laurea triennale', 'Ingegneria informatica', 'Corso Maxi Informatico, corso sperimentale con potenziamento in matematica e informatica.']",Magistrale,"['2017', '2020', '2014', '2017', '2009', '2014']",M,Quadro
"['Professional Software Developer', 'Ingegnere informatico', 'Studente tirocinante', 'Studente tirocinante', 'Dirigente', 'Studente tirocinante']","['Laurea Magistrale', 'Ingegneria informatica', '110L', 'Laurea Triennale', 'Ingegneria informatica', '108/110', 'Diploma Scuola Superiore', 'Informatica', '98/100']",Magistrale,"['2016', '2018', '2013', '2016', '2008', '2013']",M,Impiegato
"['Senior ICT Consultant', 'Senior ICT Consultant', 'R&D ICT Consultant', 'ICT Consultant', 'ICT Consultant']","['Maturità scientifica tecnologica', 'Laurea specialistica', 'Ingegneria Informatica']",Magistrale,"['1995', '2000', '2000', '2006']",M,Quadro
"['Sviluppatore Web', 'Specialista informatico']","['Laurea triennale', 'Ingegneria informatica', 'Diploma', 'Liceo Scientifico opzione Scienze Applicate']",Triennale,"['2017', '2020', '2012', '2017']",M,Impiegato
['Full-stack Developer'],"['Laurea Magistrale LM in Ingegneria Informatica', 'Ingegneria informatica', '110/110 e Lode', 'Laurea Triennale in Ingegneria Informatica', 'Ingegneria informatica', 'Diploma', 'Liceo Classico', '81/100']",Magistrale,"['2018', '2021', '2015', '2018', '2010', '2015']",M,Quadro
"['Backend & Frontend JavaFX Developer', 'Tecnico-educatore di nuoto ed Educatore Zerosei', 'Tecnico-educatore di nuoto e Educatore Zerosei', 'Tecnico-educatore di nuoto e Bagnino']","['Laurea Magistrale', 'Ingegneria Informatica', 'Laurea Triennale', 'Ingegneria informatica', 'Perito Aziendale corrispondente in Lingue Estere']",Magistrale,"['2018', '2021', '2014', '2018', '2009', '2014']",F,Quadro
['Sviluppatore Web'],"['Laurea Magistrale in ingegneria informatica', 'Laurea Magistrale in ingegneria informatica']",Magistrale,"['2017', '2019']",M,Impiegato
"['Junior Engineer Backend', 'IT Consultant', 'System Engineer', 'Studente tirocinante']","['Ingegneria Informatica', 'Ingegneria informatica', '107', 'Laurea triennale', 'Ingegneria informatica', 'Diploma']",Triennale,"['2018', '2021', '2015', '2018', '2010', '2015']",M,Impiegato
"['IT Consultant', 'Master Thesis & Internship']","['Laurea triennale', 'Ingegneria informatica', 'Laurea Magistrale  LM', 'Ingegneria informatica']",Triennale,"['2012', '2015', '2015', '2017']",M,Quadro
